set,s11a,s22a,s33a,s11m,s22m,s33m,t12a,t13a,t23a,t12m,t13m,t23m,fi11,fi22,fi33,fi12,fi13,fi23,Rm,Re,f-1,f0,b-1,b0,rb-1,t-1,t0
Native,503,0,0,614.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,437,0,0,1019.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,417,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,372,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,734,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,607,0,0,0,0,0,303.5,0,0,0,0,0,0,0,0,90,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,440,0,0,0,0,0,440,0,0,0,0,0,0,0,0,90,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,417,0,0,509.7,0,0,208.5,0,0,0,0,0,0,0,0,90,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,464,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,2467,2115,866,1060,0,0,0,541,821.5759312
Native,239.723,0,0,0,0,0,239.723,0,0,0,0,0,0,0,0,0,0,0,995,900,382.2,476.1868492,0,0,0,306.9,471.2019771
Native,215,0,0,-215,0,0,107.5,0,0,0,0,0,0,0,0,90,0,0,330,220,196.5,293.7378774,0,0,0,177.5,303.6877676
Native,200,0,0,-200,0,0,133.5,0,0,0,0,0,0,0,0,90,0,0,330,220,196.5,293.7378774,0,0,0,177.5,303.6877676
Native,86.39321229,0,0,259.1796369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477.1,440,198.3058241,258.6736562,0,0,0,109.9769535,173.6534635
Native,0,0,0,38.044,0,0,97.19601025,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,0,0,0,83.288,0,0,85.99709403,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,0,0,0,168.105,0,0,74.87186845,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,83.26962004,0,0,0,0,0,82.93654156,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,133.3941177,0,0,0,0,0,44.42024119,0,0,0,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,77.59253871,0,0,0,0,0,77.51494617,0,0,0,0,0,0,0,0,90,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,125.9586869,0,0,0,0,0,42.07020142,0,0,0,0,0,0,0,0,90,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,58.91708691,0,0,58.91708691,0,0,58.91708691,0,0,58.91708691,0,0,0,0,0,90,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,0,0,0,0,0,0,65.28068608,0,0,196.3643037,0,0,0,0,0,0,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
Native,72.48434015,0,0,24.13728527,0,0,72.48434015,0,0,24.28225395,0,0,0,0,0,90,0,0,477.1,439.8,153.423317,238.5704767,0,0,0,109.1007746,178.0134114
